Xi;fi;fr;frp
1.58;1;0.058823529411764705;5.88235294117647
1.61;1;0.058823529411764705;5.88235294117647
1.62;1;0.058823529411764705;5.88235294117647
1.7;1;0.058823529411764705;5.88235294117647
1.71;3;0.17647058823529413;17.647058823529413
1.73;1;0.058823529411764705;5.88235294117647
1.75;1;0.058823529411764705;5.88235294117647
1.77;2;0.11764705882352941;11.76470588235294
1.78;1;0.058823529411764705;5.88235294117647
1.79;2;0.11764705882352941;11.76470588235294
1.85;1;0.058823529411764705;5.88235294117647
1.88;1;0.058823529411764705;5.88235294117647
1.88;1;0.058823529411764705;5.88235294117647
